Netlist

Exported from Main Schematic.sch at 5/1/15 15:12

EAGLE Version 7.2.0 Copyright (c) 1988-2014 CadSoft

Net                 Part                Pad      Pin        Sheet

+5V                 5VBOOST             1        VOUT_2     1
                    5VBOOST             15       VOUT_3     1
                    C32                 2        2          1
                    C34                 2        2          1
                    C35                 -        -          1
                    C36                 -        -          1
                    C39                 2        2          1
                    C4                  2        2          1
                    C40                 2        2          1
                    C41                 2        2          1
                    C42                 2        2          1
                    C49                 -        -          1
                    C5                  2        2          1
                    C50                 -        -          1
                    C51                 -        -          1
                    C52                 -        -          1
                    C59                 2        2          1
                    C6                  2        2          1
                    C60                 2        2          1
                    C61                 2        2          1
                    C62                 2        2          1
                    C63                 2        2          1
                    C66                 2        2          1
                    C67                 2        2          1
                    C68                 2        2          1
                    C69                 2        2          1
                    C7                  2        2          1
                    C70                 2        2          1
                    C71                 2        2          1
                    C72                 2        2          1
                    C73                 2        2          1
                    C74                 2        2          1
                    C75                 2        2          1
                    C76                 2        2          1
                    C77                 2        2          1
                    C78                 2        2          1
                    C79                 2        2          1
                    C8                  2        2          1
                    C80                 2        2          1
                    C81                 2        2          1
                    C82                 2        2          1
                    C83                 2        2          1
                    C84                 2        2          1
                    C85                 2        2          1
                    C86                 2        2          1
                    C87                 2        2          1
                    C88                 2        2          1
                    C89                 2        2          1
                    C9                  2        2          1
                    C90                 2        2          1
                    C91                 2        2          1
                    C92                 2        2          1
                    C93                 2        2          1
                    C94                 2        2          1
                    C95                 2        2          1
                    C96                 2        2          1
                    C97                 2        2          1
                    C98                 2        2          1
                    C99                 2        2          1
                    EXT_POWER_IN        1        1          1
                    EXT_RADIO_INTERFACE 1        1          1
                    GPIOA               14       14         1
                    GPIOB               14       14         1
                    HDMI                P$11     P$11       1
                    HDMI                P$17     P$17       1
                    HDMI                P$2      P$2        1
                    HDMI                P$5      P$5        1
                    HDMI                P$8      P$8        1
                    HEADSET             1        1          1
                    HEADSET             3        3          1
                    J1                  P$11     P$11       1
                    J1                  P$14     P$14       1
                    J1                  P$17     P$17       1
                    J1                  P$2      P$2        1
                    J1                  P$20     P$20       1
                    J1                  P$23     P$23       1
                    J1                  P$26     P$26       1
                    J1                  P$35     P$35       1
                    J1                  P$36     P$36       1
                    J1                  P$5      P$5        1
                    J1                  P$70     P$70       1
                    J1                  P$72     P$72       1
                    J1                  P$74     P$74       1
                    J1                  P$76     P$76       1
                    J1                  P$78     P$78       1
                    J1                  P$8      P$8        1
                    J1                  P$80     P$80       1
                    J2                  P$11     P$11       1
                    J2                  P$12     P$12       1
                    J2                  P$17     P$17       1
                    J2                  P$18     P$18       1
                    J2                  P$23     P$23       1
                    J2                  P$24     P$24       1
                    J2                  P$29     P$29       1
                    J2                  P$30     P$30       1
                    J2                  P$35     P$35       1
                    J2                  P$36     P$36       1
                    J2                  P$48     P$48       1
                    J2                  P$5      P$5        1
                    J2                  P$58     P$58       1
                    J2                  P$6      P$6        1
                    J2                  P$61     P$61       1
                    J2                  P$64     P$64       1
                    J2                  P$70     P$70       1
                    J2                  P$75     P$75       1
                    J3                  P$10     P$10       1
                    J3                  P$16     P$16       1
                    J3                  P$30     P$30       1
                    J3                  P$33     P$33       1
                    J3                  P$47     P$47       1
                    J3                  P$52     P$52       1
                    LT1085              1        GND        1
                    LT1085              THERM    GND        1
                    MICRO_SD            6        VSS        1
                    MICRO_SD            MT1      GND        1
                    MICRO_SD            MT2      GND1       1
                    MSATA               15       S          1
                    MSATA               18       S          1
                    MSATA               21       S          1
                    MSATA               26       S          1
                    MSATA               27       S          1
                    MSATA               29       S          1
                    MSATA               34       S          1
                    MSATA               35       S          1
                    MSATA               37       S          1
                    MSATA               4        S          1
                    MSATA               40       S          1
                    MSATA               43       S          1
                    MSATA               50       S          1
                    MSATA               9        S          1
                    ON/OFF?             O        O          1
                    PCIE1               15       S          1
                    PCIE1               18       S          1
                    PCIE1               21       S          1
                    PCIE1               26       S          1
                    PCIE1               27       S          1
                    PCIE1               29       S          1
                    PCIE1               34       S          1
                    PCIE1               35       S          1
                    PCIE1               37       S          1
                    PCIE1               4        S          1
                    PCIE1               40       S          1
                    PCIE1               43       S          1
                    PCIE1               50       S          1
                    PCIE1               9        S          1
                    PCIE2               15       S          1
                    PCIE2               18       S          1
                    PCIE2               21       S          1
                    PCIE2               26       S          1
                    PCIE2               27       S          1
                    PCIE2               29       S          1
                    PCIE2               34       S          1
                    PCIE2               35       S          1
                    PCIE2               37       S          1
                    PCIE2               4        S          1
                    PCIE2               40       S          1
                    PCIE2               43       S          1
                    PCIE2               50       S          1
                    PCIE2               9        S          1
                    R10                 2        2          1
                    R12                 1        1          1
                    R15                 2        2          1
                    R17                 1        1          1
                    R18                 1        1          1
                    R2                  1        1          1
                    R6                  1        1          1
                    R7                  1        1          1
                    RESET               3        P1         1
                    RT1                 2        2          1
                    RT15                2        2          1
                    RT16                2        2          1
                    RT19                2        2          1
                    RT2                 1        1          1
                    RT20                2        2          1
                    RT23                2        2          1
                    RT24                2        2          1
                    RT25                1        1          1
                    RT26                1        1          1
                    RT27                1        1          1
                    RT28                1        1          1
                    RT3                 1        1          1
                    RT4                 1        1          1
                    RT7                 2        2          1
                    RT8                 2        2          1
                    SD2_VSELECT         2        INH        1
                    SD2_VSELECT         3        GND        1
                    SD2_VSELECT         4        GND        1
                    THERM               2        2          1
                    U$1                 GND      GND        1
                    U$2                 1        GND        1
                    U$3                 P$3      GND        1
                    U$3                 P$8      GND2       1
                    U$4                 P$3      GND        1
                    U$4                 P$8      GND2       1
                    U$5                 P$3      GND        1
                    U$5                 P$8      GND2       1
                    U$6                 1        GND        1
                    U$7                 1        GND        1
                    U7                  A10      VSSA_8     1
                    U7                  A5       VSSA_2     1
                    U7                  C10      DN1_DPSTRP 1
                    U7                  C4       RSVD_2     1
                    U7                  C7       VSSA_3     1
                    U7                  C8       VSSA_4     1
                    U7                  C9       VSSA_5     1
                    U7                  D1       VSSD_REF   1
                    U7                  D10      VSS_3      1
                    U7                  D11      VSS_4      1
                    U7                  D5       VSS_2      1
                    U7                  D6       VSS_3      1
                    U7                  E10      VSS_5      1
                    U7                  E11      VSS_6      1
                    U7                  E12      VSS_7      1
